
########################################################################################################################

LogisticRegression(solver=newton-cg, penalty='l2')                                                        => 0.456500
LogisticRegression(solver=lbfgs, penalty='l2')                                                            => 0.456000
LogisticRegression(solver=liblinear, penalty='l2')                                                        => 0.456000
LogisticRegression(solver=sag, penalty='l2')                                                              => 0.458000
LogisticRegression(solver=saga, penalty='l2')                                                             => 0.460000

Choice: 
LogisticRegression(solver=saga, penalty='l2')                                                             => 0.460000


########################################################################################################################

SVC()                                                                                                     => 0.400500

Choice: 
SVC()                                                                                                     => 0.400500


########################################################################################################################

RandomForest(n_estimators=10, n_jobs=CORES)                                                               => 0.209000
RandomForest(n_estimators=100, n_jobs=CORES)                                                              => 0.322500
RandomForest(n_estimators=1000, n_jobs=CORES)                                                             => 0.398500
RandomForest(n_estimators=5000, n_jobs=CORES)                                                             => 0.391500
RandomForest(n_estimators=10000, n_jobs=CORES)                                                            => 0.397500

Choice: 
RandomForest(n_estimators=1000, n_jobs=CORES)                                                             => 0.398500


########################################################################################################################

KNeighbors(n_neighbors=5, n_jobs=CORES)                                                                   => 0.272500
KNeighbors(n_neighbors=10, n_jobs=CORES)                                                                  => 0.292500
KNeighbors(n_neighbors=50, n_jobs=CORES)                                                                  => 0.320500
KNeighbors(n_neighbors=200, n_jobs=CORES)                                                                 => 0.304500

Choice: 
KNeighbors(n_neighbors=50, n_jobs=CORES)                                                                  => 0.320500


########################################################################################################################

MLPClassifier(hidden_layer_sizes=(50,)*3, solver='lbfgs',  activation='relu', early_stopping=True)        => 0.446500
MLPClassifier(hidden_layer_sizes=(50,)*3, solver='sgd',  activation='relu', early_stopping=True)          => 0.441500
MLPClassifier(hidden_layer_sizes=(50,)*3, solver='adam',  activation='relu', early_stopping=True)         => 0.452500
MLPClassifier(hidden_layer_sizes=(50,)*4, solver='lbfgs',  activation='relu', early_stopping=True)        => 0.442000
MLPClassifier(hidden_layer_sizes=(50,)*4, solver='sgd',  activation='relu', early_stopping=True)          => 0.422000
MLPClassifier(hidden_layer_sizes=(50,)*4, solver='adam',  activation='relu', early_stopping=True)         => 0.436000
MLPClassifier(hidden_layer_sizes=(50,)*5, solver='lbfgs',  activation='relu', early_stopping=True)        => 0.436000
MLPClassifier(hidden_layer_sizes=(50,)*5, solver='sgd',  activation='relu', early_stopping=True)          => 0.415500
MLPClassifier(hidden_layer_sizes=(50,)*5, solver='adam',  activation='relu', early_stopping=True)         => 0.435000
MLPClassifier(hidden_layer_sizes=(50,)*6, solver='lbfgs',  activation='relu', early_stopping=True)        => 0.418000
MLPClassifier(hidden_layer_sizes=(50,)*6, solver='sgd',  activation='relu', early_stopping=True)          => 0.408500
MLPClassifier(hidden_layer_sizes=(50,)*6, solver='adam',  activation='relu', early_stopping=True)         => 0.432500
MLPClassifier(hidden_layer_sizes=(50,)*7, solver='lbfgs',  activation='relu', early_stopping=True)        => 0.429500
MLPClassifier(hidden_layer_sizes=(50,)*7, solver='sgd',  activation='relu', early_stopping=True)          => 0.395500
MLPClassifier(hidden_layer_sizes=(50,)*7, solver='adam',  activation='relu', early_stopping=True)         => 0.427000
MLPClassifier(hidden_layer_sizes=(50,)*8, solver='lbfgs',  activation='relu', early_stopping=True)        => 0.407500
MLPClassifier(hidden_layer_sizes=(50,)*8, solver='sgd',  activation='relu', early_stopping=True)          => 0.191000
MLPClassifier(hidden_layer_sizes=(50,)*8, solver='adam',  activation='relu', early_stopping=True)         => 0.409500
MLPClassifier(hidden_layer_sizes=(50,)*9, solver='lbfgs',  activation='relu', early_stopping=True)        => 0.328500
MLPClassifier(hidden_layer_sizes=(50,)*9, solver='sgd',  activation='relu', early_stopping=True)          => 0.171000
MLPClassifier(hidden_layer_sizes=(50,)*9, solver='adam',  activation='relu', early_stopping=True)         => 0.386500
MLPClassifier(hidden_layer_sizes=(100,)*3, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.467000
MLPClassifier(hidden_layer_sizes=(100,)*3, solver='sgd',  activation='relu', early_stopping=True)         => 0.396500
MLPClassifier(hidden_layer_sizes=(100,)*3, solver='adam',  activation='relu', early_stopping=True)        => 0.463000
MLPClassifier(hidden_layer_sizes=(100,)*4, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.443500
MLPClassifier(hidden_layer_sizes=(100,)*4, solver='sgd',  activation='relu', early_stopping=True)         => 0.446500
MLPClassifier(hidden_layer_sizes=(100,)*4, solver='adam',  activation='relu', early_stopping=True)        => 0.457000
MLPClassifier(hidden_layer_sizes=(100,)*5, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.446000
MLPClassifier(hidden_layer_sizes=(100,)*5, solver='sgd',  activation='relu', early_stopping=True)         => 0.431000
MLPClassifier(hidden_layer_sizes=(100,)*5, solver='adam',  activation='relu', early_stopping=True)        => 0.473000
MLPClassifier(hidden_layer_sizes=(100,)*6, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.444000
MLPClassifier(hidden_layer_sizes=(100,)*6, solver='sgd',  activation='relu', early_stopping=True)         => 0.181000
MLPClassifier(hidden_layer_sizes=(100,)*6, solver='adam',  activation='relu', early_stopping=True)        => 0.438000
MLPClassifier(hidden_layer_sizes=(100,)*7, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.440000
MLPClassifier(hidden_layer_sizes=(100,)*7, solver='sgd',  activation='relu', early_stopping=True)         => 0.394500
MLPClassifier(hidden_layer_sizes=(100,)*7, solver='adam',  activation='relu', early_stopping=True)        => 0.447500
MLPClassifier(hidden_layer_sizes=(100,)*8, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.416000
MLPClassifier(hidden_layer_sizes=(100,)*8, solver='sgd',  activation='relu', early_stopping=True)         => 0.322000
MLPClassifier(hidden_layer_sizes=(100,)*8, solver='adam',  activation='relu', early_stopping=True)        => 0.417500
MLPClassifier(hidden_layer_sizes=(100,)*9, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.391000
MLPClassifier(hidden_layer_sizes=(100,)*9, solver='sgd',  activation='relu', early_stopping=True)         => 0.159500
MLPClassifier(hidden_layer_sizes=(100,)*9, solver='adam',  activation='relu', early_stopping=True)        => 0.429500
MLPClassifier(hidden_layer_sizes=(150,)*3, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.463500
MLPClassifier(hidden_layer_sizes=(150,)*3, solver='sgd',  activation='relu', early_stopping=True)         => 0.446000
MLPClassifier(hidden_layer_sizes=(150,)*3, solver='adam',  activation='relu', early_stopping=True)        => 0.468000
MLPClassifier(hidden_layer_sizes=(150,)*4, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.462000
MLPClassifier(hidden_layer_sizes=(150,)*4, solver='sgd',  activation='relu', early_stopping=True)         => 0.447500
MLPClassifier(hidden_layer_sizes=(150,)*4, solver='adam',  activation='relu', early_stopping=True)        => 0.461000
MLPClassifier(hidden_layer_sizes=(150,)*5, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.448500
MLPClassifier(hidden_layer_sizes=(150,)*5, solver='sgd',  activation='relu', early_stopping=True)         => 0.386500
MLPClassifier(hidden_layer_sizes=(150,)*5, solver='adam',  activation='relu', early_stopping=True)        => 0.462000
MLPClassifier(hidden_layer_sizes=(150,)*6, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.418500
MLPClassifier(hidden_layer_sizes=(150,)*6, solver='sgd',  activation='relu', early_stopping=True)         => 0.443500
MLPClassifier(hidden_layer_sizes=(150,)*6, solver='adam',  activation='relu', early_stopping=True)        => 0.453000
MLPClassifier(hidden_layer_sizes=(150,)*7, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.447000
